name,id,class,mass,fall,year,latitude,longitude,class_cat
Hoba,11890,"Iron, IVB",60000.0,Found,1920,-19.58333,17.91667,Iron Meteorites - Category IV
Cape York,5262,"Iron, IIIAB",58200.0,Found,1818,76.13333,-64.93333,Iron Meteorites - Category I
Campo del Cielo,5247,"Iron, IAB-MG",50000.0,Found,1575,-27.46667,-60.58333,Iron Meteorites - Category I
Canyon Diablo,5257,"Iron, IAB-MG",30000.0,Found,1891,35.05,-111.03333,Iron Meteorites - Category I
Armanty,2335,"Iron, IIIE",28000.0,Found,1898,47.0,88.0,Iron Meteorites - Category II
Gibeon,10912,"Iron, IVA",26000.0,Found,1836,-25.5,18.0,Iron Meteorites - Category IV
Chupaderos,5363,"Iron, IIIAB",24300.0,Found,1852,27.0,-105.1,Iron Meteorites - Category I
Mundrabilla,16852,"Iron, IAB-ung",24000.0,Found,1911,-30.78333,127.55,Iron Meteorites - Category I
Sikhote-Alin,23593,"Iron, IIAB",23000.0,Fell,1947,46.16,134.65333,Iron Meteorites - Category I
Bacubirito,4919,"Iron, ungrouped",22000.0,Found,1863,26.2,-107.83333,Iron Meteorites - Category U (Uncategorized)
Mbosi,15456,"Iron, ungrouped",16000.0,Found,1930,-9.11667,33.06667,Iron Meteorites - Category U (Uncategorized)
Willamette,24269,"Iron, IIIAB",15500.0,Found,1902,45.36667,-122.58333,Iron Meteorites - Category I
Morito,16745,"Iron, IIIAB",10100.0,Found,1600,27.05,-105.43333,Iron Meteorites - Category I
Nantan,16906,"Iron, IAB-MG",9500.0,Found,1958,25.1,107.7,Iron Meteorites - Category I
Cranbourne,5463,"Iron, IAB-MG",8600.0,Found,1854,-38.1,145.3,Iron Meteorites - Category I
Santa Catharina,23162,"Iron, IAB-ung",7000.0,Found,1875,-26.21667,-48.6,Iron Meteorites - Category I
Bendegó,5015,"Iron, IC",5360.0,Found,1784,-10.11667,-39.2,Other Categories
Brenham,5136,"Pallasite, PMG-an",4300.0,Found,1882,37.5825,-99.16361,Stony-Iron Meteorites - Pallasites
Jilin,12171,H5,4000.0,Fell,1976,44.05,126.16667,Stony Meteorites - Chondrites
Vaca Muerta,24142,Mesosiderite-A1,3828.0,Found,1861,-25.75,-70.5,Stony-Iron Meteorites - Mesosiderites
Youndegin,30374,"Iron, IAB-MG",3800.0,Found,1884,-32.1,117.71667,Iron Meteorites - Category I
Al Haggounia 001,44857,Aubrite,3000.0,Found,2006,27.5,-12.5,Stony Meteorites - Achondrites
Yingde,30363,"Iron, IVA",3000.0,Found,1964,24.2,113.4,Iron Meteorites - Category IV
Xifu,54608,"Iron, IAB complex",3000.0,Found,2004,36.3,120.48333,Iron Meteorites - Category I
Toluca,24018,"Iron, IAB-sLL",3000.0,Found,1776,19.56667,-99.56667,Iron Meteorites - Category I
Old Woman,18007,"Iron, IIAB",2753.0,Found,1976,34.46667,-115.23333,Iron Meteorites - Category I
Wabar,24194,"Iron, IIIAB",2550.0,Found,1863,21.49972,50.47222,Iron Meteorites - Category I
Huckitta,11922,"Pallasite, PMG-an",2300.0,Found,1924,-22.36667,135.76667,Stony-Iron Meteorites - Pallasites
Navajo,16926,"Iron, IIAB",2184.0,Found,1921,35.33333,-109.5,Iron Meteorites - Category I
Coahuila,5387,"Iron, IIAB",2100.0,Found,1837,28.7,-102.73333,Iron Meteorites - Category I
Henbury,11872,"Iron, IIIAB",2000.0,Found,1931,-24.56667,133.16667,Iron Meteorites - Category I
Campinorte,52093,"Iron, ungrouped",2000.0,Found,1992,-14.258,-49.15917,Iron Meteorites - Category U (Uncategorized)
Zhaoping,54609,"Iron, IAB complex",2000.0,Found,1983,24.23333,111.18333,Iron Meteorites - Category I
Allende,2278,CV3,2000.0,Fell,1969,26.96667,-105.31667,Stony Meteorites - Achondrites
Santa Luzia,23166,"Iron, IIAB",1918.0,Found,1921,-16.26667,-47.95,Iron Meteorites - Category I
Ghubara,10911,L5,1750.0,Found,1954,19.22778,56.14278,Stony Meteorites - Chondrites
Odessa (iron),17985,"Iron, IAB-MG",1600.0,Found,1922,31.71667,-102.4,Iron Meteorites - Category I
Gebel Kamil,52031,"Iron, ungrouped",1600.0,Found,2009,22.01833,26.08778,Iron Meteorites - Category U (Uncategorized)
Casas Grandes,5285,"Iron, IIIAB",1545.0,Found,1867,30.4,-107.8,Iron Meteorites - Category I
Bitburg,5062,"Iron, IAB complex",1500.0,Found,1805,49.96667,6.53333,Iron Meteorites - Category I
Quinn Canyon,22364,"Iron, IIIAB",1450.0,Found,1908,38.08333,-115.53333,Iron Meteorites - Category I
Charcas,5326,"Iron, IIIAB",1400.0,Found,1804,23.08333,-101.01667,Iron Meteorites - Category I
Santa Apolonia,23160,"Iron, IIIAB",1316.0,Found,1872,19.21667,-98.3,Iron Meteorites - Category I
Tsarev,24058,L5,1225.3,Found,1968,48.7,45.7,Stony Meteorites - Chondrites
Alkhamasin,475,"Iron, IIAB",1200.0,Found,1973,20.6,44.88333,Iron Meteorites - Category I
Kouga Mountains,12352,"Iron, IIIAB",1173.0,Found,1903,-33.61667,24.0,Iron Meteorites - Category I
Goose Lake,10947,"Iron, IAB-sLL",1169.5,Found,1938,41.98,-120.54167,Iron Meteorites - Category I
Murnpeowie,16878,"Iron, IC",1143.0,Found,1909,-29.58333,139.9,Other Categories
Norton County,17922,Aubrite,1100.0,Fell,1948,39.68333,-99.86667,Stony Meteorites - Achondrites
Kunya-Urgench,12379,H5,1100.0,Fell,1998,42.25,59.2,Stony Meteorites - Chondrites
Fukang,34491,"Pallasite, PMG",1003.0,Found,2000,44.43333,87.63333,Stony-Iron Meteorites - Pallasites
Zacatecas (1792),30381,"Iron, ungrouped",1000.0,Found,1792,22.81667,-102.56667,Iron Meteorites - Category U (Uncategorized)
Bilibino,5046,"Iron, IIAB",1000.0,Found,1981,67.3,160.8,Iron Meteorites - Category I
Los Sauces,14710,Iron,997.0,Found,1937,-29.41667,-66.85,Other Categories
Tucson,24061,"Iron, ungrouped",975.0,Found,1850,31.85,-110.96667,Iron Meteorites - Category U (Uncategorized)
Cosby's Creek,5450,"Iron, IAB-MG",960.0,Found,1837,35.78333,-83.25,Iron Meteorites - Category I
Imilac,12025,"Pallasite, PMG",920.0,Found,1822,-24.20333,-68.80667,Stony-Iron Meteorites - Pallasites
Zhigansk,30405,"Iron, IIIAB",900.0,Found,1966,68.0,128.3,Iron Meteorites - Category I
Bondoc,5103,Mesosiderite-B4,888.6,Found,1956,13.51667,122.45,Stony-Iron Meteorites - Mesosiderites
Santa Rosa,23167,"Iron, IC",825.0,Found,1810,5.91667,-73.0,Other Categories
Brahin,5130,"Pallasite, PMG",823.0,Found,1810,52.5,30.33333,Stony-Iron Meteorites - Pallasites
Sardis,23177,"Iron, IAB complex",800.0,Found,1940,32.94889,-81.865,Iron Meteorites - Category I
Red River,22548,"Iron, IIIAB",800.0,Found,1808,32.0,-95.0,Iron Meteorites - Category I
Wolf Creek,24326,"Iron, IIIAB",760.0,Found,1947,-19.3,127.76667,Iron Meteorites - Category I
